category;subcategory;name;model;article;sku;brand;functional_name;nomenclature;price;price_wholesale;availability;product_url;image_file;passport_file
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая HiWatch IPC-B042C-G2/UL(2.8mm);IPC-B042C-G2/UL(2.8mm);304886;311318285;HiWatch;Профессиональная видеокамера IP цилиндрическая;Видеокамера IP;12784.31;11612.42;Под заказ;https://www.tinko.ru/catalog/product/304886/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T203L(B)(2.8мм);DS-T203L(B)(2.8мм);327117;327800683;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;2205.28;2003.13;Под заказ;https://www.tinko.ru/catalog/product/327117/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T203L(C)(2.8мм);DS-T203L(C)(2.8мм);351783;327801196;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;2205.28;2003.13;до 3 дней;https://www.tinko.ru/catalog/product/351783/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;IP-видеокамера цилиндрическая HiWatch DS-I256ZM/SL (2.8-12.0мм);DS-I256ZM/SL (2.8-12.0мм);360621;311327474;HiWatch;Бюджетная IP-видеокамера цилиндрическая;Видеокамера IP;7470;6785.25;Под заказ;https://www.tinko.ru/catalog/product/360621/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T208S (2.7-13,5 mm);DS-T208S (2.7-13,5 mm);278587;300612952;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;4257.93;3867.62;Под заказ;https://www.tinko.ru/catalog/product/278587/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;IP-видеокамера цилиндрическая HiWatch DS-I456ZM/SL (2.8-12.0мм);DS-I456ZM/SL (2.8-12.0мм);360623;311327475;HiWatch;Бюджетная IP-видеокамера цилиндрическая;Видеокамера IP;9969.6;9055.72;Под заказ;https://www.tinko.ru/catalog/product/360623/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T209(C) (2.7-13.5мм);DS-T209(C) (2.7-13.5мм);358605;327801166;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;3189.13;2896.79;В наличии;https://www.tinko.ru/catalog/product/358605/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Внутриобъектовые системы;Система видеонаблюдения для офиса на базе комплекта IP-видео «Офис под контролем» HiWatch ТСН-004;ТСН-004;253668;;HiWatch;Система видеонаблюдения для офиса на базе комплекта IP-видео «Офис под контролем»;Типовое решение ТСН;80361.31;;Под заказ;https://www.tinko.ru/catalog/product/253668/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры мультиформатные цилиндрические;Видеокамера мультиформатная цилиндрическая HiWatch DS-T206S (2.7-13,5 mm);DS-T206S (2.7-13,5 mm);278586;300511452;HiWatch;Бюджетная видеокамера мультиформатная цилиндрическая;Видеокамера мультиформатная;4257.93;3867.62;В наличии;https://www.tinko.ru/catalog/product/278586/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая HiWatch IPC-B522-G2/4I (2.8mm);IPC-B522-G2/4I (2.8mm);296894;311315862;HiWatch;Профессиональная видеокамера IP цилиндрическая;Видеокамера IP;10100.08;9174.24;Под заказ;https://www.tinko.ru/catalog/product/296894/;image.jpg;manual.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T207(C) (2.7-13.5мм);DS-T207(C) (2.7-13.5мм);360441;327801154;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;3910.68;3552.2;до 3 дней;https://www.tinko.ru/catalog/product/360441/;image.jpg;passport.pdf
