category;subcategory;name;model;article;sku;brand;functional_name;nomenclature;price;price_wholesale;availability;product_url;image_file;passport_file
Средства и системы охранного телевидения;Видеокамеры IP купольные;IP-видеокамера купольная Tiandy TC-C32XN I3/E/Y/2.8/V5.1;TC-C32XN I3/E/Y/2.8/V5.1;332212;1D.20010.020061;Tiandy;IP-видеокамера купольная;Видеокамера IP;5390;2150.61;Под заказ;https://www.tinko.ru/catalog/product/332212/;image.jpg;
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3110 Spec:I/B/L/Eu/V1.1;TC-R3110 Spec:I/B/L/Eu/V1.1;354284;1D.20030.020088;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;8490;3682.2;Под заказ;https://www.tinko.ru/catalog/product/354284/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP поворотные;Видеокамера IP поворотная Tiandy TC-H354S 23X/I/E/V3.1;TC-H354S 23X/I/E/V3.1;323748;1D.20020.000645;Tiandy;Видеокамера IP поворотная;Видеокамера IP;64890;28110.12;Под заказ;https://www.tinko.ru/catalog/product/323748/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая Tiandy TC-C34QN I3/E/Y/2.8/V5.0;TC-C34QN I3/E/Y/2.8/V5.0;323744;1D.20010.020050;Tiandy;Видеокамера IP цилиндрическая;Видеокамера IP;5990;3072.87;Под заказ;https://www.tinko.ru/catalog/product/323744/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая Tiandy TC-C34QN I3/E/Y/4/V5.0;TC-C34QN I3/E/Y/4/V5.0;323743;1D.20010.020051;Tiandy;Видеокамера IP цилиндрическая;Видеокамера IP;5990;2622;Под заказ;https://www.tinko.ru/catalog/product/323743/;image.jpg;
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3105 Spec:I/B/P4/K/V3.1;TC-R3105 Spec:I/B/P4/K/V3.1;354279;1D.20030.001300;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;21890;8734.11;Под заказ;https://www.tinko.ru/catalog/product/354279/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3110 Spec:I/B/P8/Eu/L/S/V2.0;TC-R3110 Spec:I/B/P8/Eu/L/S/V2.0;352776;1D.20030.020831;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;13290;5302.71;Под заказ;https://www.tinko.ru/catalog/product/352776/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая Tiandy TC-C34WP Spec:W/E/Y/4mm/V4.0;TC-C34WP Spec:W/E/Y/4mm/V4.0;354264;1D.20010.002658;Tiandy;Видеокамера IP цилиндрическая;Видеокамера IP;15190;6060.81;Под заказ;https://www.tinko.ru/catalog/product/354264/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;IP-видеокамера купольная Tiandy TC-C32HN I3/E/Y/C/2.8/V4.2;TC-C32HN I3/E/Y/C/2.8/V4.2;325741;1D.20010.003559;Tiandy;IP-видеокамера купольная;Видеокамера IP;6790;2709.21;Под заказ;https://www.tinko.ru/catalog/product/325741/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;Видеокамера IP купольная Tiandy TC-C34XP Spec:W/E/Y/2.8mm/V4.0;TC-C34XP Spec:W/E/Y/2.8mm/V4.0;354216;1D.20010.002661;Tiandy;Видеокамера IP купольная;Видеокамера IP;15190;7793.04;Под заказ;https://www.tinko.ru/catalog/product/354216/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;Видеокамера IP купольная Tiandy TC-C32XP I3W/E/Y/2.8/V4.2;TC-C32XP I3W/E/Y/2.8/V4.2;323738;1D.20010.003873;Tiandy;Видеокамера IP купольная;Видеокамера IP;9690;4197.71;Под заказ;https://www.tinko.ru/catalog/product/323738/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая Tiandy TC-C32QN Spec:I3/E/Y/4mm/V5.1;TC-C32QN Spec:I3/E/Y/4mm/V5.1;354236;1D.20010.020060;Tiandy;Видеокамера IP цилиндрическая;Видеокамера IP;5390;2150.61;Под заказ;https://www.tinko.ru/catalog/product/354236/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;IP-видеокамера цилиндрическая Tiandy TC-C32GN I5/E/Y/C/2.8/V4.2;TC-C32GN I5/E/Y/C/2.8/V4.2;325746;1D.20010.003557;Tiandy;IP-видеокамера цилиндрическая;Видеокамера IP;6790;3483.84;Под заказ;https://www.tinko.ru/catalog/product/325746/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);Видеорегистратор NVR Tiandy TC-R3440 Spec:I/B/P16/H/V4.0;TC-R3440 Spec:I/B/P16/H/V4.0;354283;1D.20030.020183;Tiandy;Видеорегистратор NVR;Видеорегистратор NVR;101790;44004;Под заказ;https://www.tinko.ru/catalog/product/354283/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;Видеокамера IP купольная Tiandy TC-C34XN I3/E/Y/2.8/V5.0;TC-C34XN I3/E/Y/2.8/V5.0;323734;1D.20010.020052;Tiandy;Видеокамера IP купольная;Видеокамера IP;5990;3073.44;Под заказ;https://www.tinko.ru/catalog/product/323734/;image.jpg;
